,,group,ids,moe,percent
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,occ_hu,,1,FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,occ_hu_me,,1,TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,no_car,,"010, 003",FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,no_car_me,,"010, 003",TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,car,,"004, 012, 013, 007, 014, 005, 015, 008, 011, 006",FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,car_me,,"004, 012, 013, 007, 014, 005, 015, 008, 011, 006",TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,c1,,"004, 011",FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,c1_me,,"004, 011",TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,c2,,"005, 012",FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,c2_me,,"005, 012",TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,c3pl,,"007, 013, 014, 015, 008, 006",FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,c3pl_me,,"007, 013, 014, 015, 008, 006",TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_hu,,2,FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_hu_me,,2,TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_c0,,3,FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_c0_me,,3,TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_car,,"004, 007, 005, 008, 006",FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_car_me,,"004, 007, 005, 008, 006",TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_c1,,4,FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_c1_me,,4,TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_c2,,5,FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_c2_me,,5,TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,ooc3pl,,"008, 006, 007",FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,ooc3pl_me,,"008, 006, 007",TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_hu,,9,FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_hu_me,,9,TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c0,,10,FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c0_me,,10,TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_car,,"012, 013, 014, 015, 011",FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_car_me,,"012, 013, 014, 015, 011",TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c1,,11,FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c1_me,,11,TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c2,,12,FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c2_me,,12,TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c3pl,,"015, 014, 013",FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c3pl_me,,"015, 014, 013",TRUE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,c0_p,,"010, 009, 002, 003",FALSE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,c0_mep,,"010, 009, 002, 003",TRUE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,car_p,,"004, 012, 013, 007, 009, 014, 005, 015, 008, 011, 006, 002",FALSE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,car_mep,,"004, 012, 013, 007, 009, 014, 005, 015, 008, 011, 006, 002",TRUE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,c1_p,,"004, 002, 009, 011",FALSE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,c1_mep,,"004, 002, 009, 011",TRUE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,c2_p,,"002, 009, 005, 012",FALSE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,c2_mep,,"002, 009, 005, 012",TRUE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,c3p_p,,"007, 013, 014, 009, 015, 008, 006, 002",FALSE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,c3p_mep,,"007, 013, 014, 009, 015, 008, 006, 002",TRUE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_c0_p,,"002, 003",FALSE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_c0_mep,,"002, 003",TRUE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_car_p,,"004, 007, 005, 008, 006",FALSE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_car_mep,,"004, 007, 005, 008, 006, 002",TRUE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_c1_p,,4,FALSE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_c1_mep,,"004, 002",TRUE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_c2_p,,5,FALSE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_c2_mep,,5,TRUE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_c3p_p,,"008, 006, 007",FALSE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,oo_c3p_mep,,"008, 006, 002, 007",TRUE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c0_p,,"010, 009",FALSE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c0_mep,,"010, 009",TRUE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_car_p,,"012, 013, 014, 015, 011",FALSE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_car_mep,,"012, 013, 014, 009, 015, 011",TRUE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c1_p,,11,FALSE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c1_mep,,"009, 011",TRUE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c2_p,,12,FALSE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c2_mep,,12,TRUE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c3p_p,,"015, 014, 013",FALSE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,r_c3p_mep,,"009, 015, 014, 013",TRUE,TRUE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,agghhv,,1,FALSE,FALSE
b25046_b25044_b01003_hh_vehicle_ownership_acs_m,agghhvm,,1,TRUE,FALSE
